Store,Date,Volume (units), Sales ($s) , Price 
8,5/20/2019,53, $794 , $14.99 
8,5/19/2019,133," $1,919 ", $14.43 
8,5/18/2019,101," $1,394 ", $13.80 
8,5/17/2019,58, $869 , $14.99 
8,5/16/2019,129," $1,754 ", $13.59 
8,5/15/2019,133," $1,994 ", $14.99 
8,5/14/2019,123," $1,677 ", $13.63 
8,5/13/2019,183," $2,303 ", $12.59 
8,5/12/2019,44, $755 , $17.17 
8,5/11/2019,123," $1,730 ", $14.07 
8,5/10/2019,145," $2,174 ", $14.99 
8,5/9/2019,129," $1,934 ", $14.99 
8,5/8/2019,157," $2,195 ", $13.98 
8,5/7/2019,194," $2,232 ", $11.50 
8,5/6/2019,114," $1,709 ", $14.99 
8,5/5/2019,100," $1,499 ", $14.99 
8,5/4/2019,86," $1,289 ", $14.99 
8,5/3/2019,103," $1,544 ", $14.99 
8,5/2/2019,99," $1,484 ", $14.99 
8,5/1/2019,118," $1,769 ", $14.99 
8,4/30/2019,117," $1,754 ", $14.99 
8,4/29/2019,111," $1,664 ", $14.99 
8,4/28/2019,115," $1,578 ", $13.72 
8,4/27/2019,58, $869 , $14.99 
8,4/26/2019,102," $1,529 ", $14.99 
8,4/25/2019,189," $2,396 ", $12.68 
8,4/24/2019,106," $1,572 ", $14.83 
8,4/23/2019,136," $2,039 ", $14.99 
8,4/22/2019,162," $2,017 ", $12.45 
8,4/21/2019,157," $2,163 ", $13.77 
8,4/20/2019,144," $1,887 ", $13.11 
8,4/19/2019,103," $1,544 ", $14.99 
8,4/18/2019,136," $2,039 ", $14.99 
8,4/17/2019,193," $2,407 ", $12.47 
8,4/16/2019,118," $1,769 ", $14.99 
8,4/15/2019,101," $1,462 ", $14.47 
8,4/14/2019,196," $1,946 ", $9.93 
8,4/13/2019,108," $1,519 ", $14.07 
8,4/12/2019,131," $1,964 ", $14.99 
8,4/11/2019,67," $1,004 ", $14.99 
8,4/10/2019,51, $764 , $14.99 
8,4/9/2019,102," $1,529 ", $14.99 
8,4/8/2019,125," $1,808 ", $14.46 
8,4/7/2019,140," $2,099 ", $14.99 
8,4/6/2019,108," $1,619 ", $14.99 
8,4/5/2019,99," $1,484 ", $14.99 
8,4/4/2019,95," $1,424 ", $14.99 
8,4/3/2019,148," $2,051 ", $13.85 
8,4/2/2019,144," $2,007 ", $13.94 
8,4/1/2019,74," $1,109 ", $14.99 
8,3/31/2019,118," $1,713 ", $14.52 
8,3/30/2019,100," $1,499 ", $14.99 
8,3/29/2019,107," $1,604 ", $14.99 
8,3/28/2019,53, $794 , $14.99 
8,3/27/2019,111," $1,525 ", $13.74 
8,3/26/2019,106," $1,522 ", $14.35 
8,3/25/2019,150," $1,929 ", $12.86 
8,3/24/2019,116," $1,530 ", $13.19 
8,3/23/2019,82," $1,229 ", $14.99 
8,3/22/2019,142," $2,129 ", $14.99 
8,3/21/2019,74," $1,109 ", $14.99 
8,3/20/2019,115," $1,724 ", $14.99 
8,3/19/2019,82," $1,229 ", $14.99 
8,3/18/2019,101," $1,514 ", $14.99 
8,3/17/2019,102," $1,529 ", $14.99 
8,3/16/2019,98," $1,469 ", $14.99 
8,3/15/2019,118," $1,547 ", $13.11 
8,3/14/2019,81," $1,174 ", $14.49 
8,3/13/2019,148," $1,961 ", $13.25 
8,3/12/2019,186," $2,229 ", $11.98 
8,3/11/2019,89," $1,334 ", $14.99 
8,3/10/2019,97," $1,454 ", $14.99 
8,3/9/2019,86," $1,289 ", $14.99 
8,3/8/2019,106," $1,589 ", $14.99 
8,3/7/2019,114," $1,709 ", $14.99 
8,3/6/2019,118," $1,769 ", $14.99 
8,3/5/2019,137," $1,919 ", $14.01 
8,3/4/2019,75," $1,124 ", $14.99 
8,3/3/2019,88," $1,319 ", $14.99 
8,3/2/2019,135," $1,845 ", $13.67 
8,3/1/2019,94," $1,409 ", $14.99 
8,2/28/2019,102," $1,529 ", $14.99 
8,2/27/2019,93," $1,394 ", $14.99 
8,2/26/2019,106," $1,589 ", $14.99 
8,2/25/2019,67, $982 , $14.65 
8,2/24/2019,175," $2,252 ", $12.87 
8,2/23/2019,117," $1,612 ", $13.78 
8,2/22/2019,153," $2,080 ", $13.60 
8,2/21/2019,81," $1,214 ", $14.99 
8,2/20/2019,135," $1,874 ", $13.88 
8,2/19/2019,123," $1,844 ", $14.99 
8,2/18/2019,86," $1,289 ", $14.99 
8,2/17/2019,109," $1,634 ", $14.99 
8,2/16/2019,146," $1,791 ", $12.27 
8,2/15/2019,86," $1,289 ", $14.99 
8,2/14/2019,163," $1,937 ", $11.88 
8,2/13/2019,189," $2,247 ", $11.89 
8,2/12/2019,54, $809 , $14.99 
8,2/11/2019,160," $1,798 ", $11.24 
8,2/10/2019,139," $2,084 ", $14.99 
8,2/9/2019,99," $1,484 ", $14.99 
8,2/8/2019,101," $1,514 ", $14.99 
8,2/7/2019,107," $1,604 ", $14.99 
8,2/6/2019,115," $1,710 ", $14.87 
8,2/5/2019,116," $1,739 ", $14.99 
8,2/4/2019,70," $1,037 ", $14.81 
8,2/3/2019,99," $1,484 ", $14.99 
8,2/2/2019,99," $1,484 ", $14.99 
8,2/1/2019,92," $1,379 ", $14.99 
8,1/31/2019,170," $2,170 ", $12.76 
8,1/30/2019,65, $974 , $14.99 
8,1/29/2019,142," $1,734 ", $12.21 
8,1/28/2019,151," $2,006 ", $13.28 
8,1/27/2019,138," $2,069 ", $14.99 
8,1/26/2019,110," $1,626 ", $14.79 
8,1/25/2019,140," $1,715 ", $12.25 
8,1/24/2019,126," $1,889 ", $14.99 
8,1/23/2019,109," $1,634 ", $14.99 
8,1/22/2019,107," $1,604 ", $14.99 
8,1/21/2019,124," $1,859 ", $14.99 
8,1/20/2019,79," $1,135 ", $14.37 
8,1/19/2019,128," $1,919 ", $14.99 
8,1/18/2019,74," $1,109 ", $14.99 
8,1/17/2019,158," $2,056 ", $13.01 
8,1/16/2019,87," $1,304 ", $14.99 
8,1/15/2019,81," $1,214 ", $14.99 
8,1/14/2019,103," $1,544 ", $14.99 
8,1/13/2019,162," $1,814 ", $11.20 
8,1/12/2019,117," $1,754 ", $14.99 
8,1/11/2019,133," $1,911 ", $14.37 
8,1/10/2019,81," $1,214 ", $14.99 
8,1/9/2019,48, $720 , $14.99 
8,1/8/2019,132," $1,979 ", $14.99 
8,1/7/2019,105," $1,563 ", $14.89 
8,1/6/2019,118," $1,767 ", $14.98 
8,1/5/2019,84," $1,259 ", $14.99 
8,1/4/2019,78," $1,169 ", $14.99 
8,1/3/2019,101," $1,367 ", $13.54 
8,1/2/2019,90," $1,284 ", $14.26 
8,1/1/2019,195," $2,294 ", $11.76 
9,8/31/2019,103," $1,544 ", $14.99 
9,8/30/2019,118," $1,769 ", $14.99 
9,8/29/2019,103," $1,544 ", $14.99 
9,8/28/2019,108," $1,619 ", $14.99 
9,8/27/2019,74," $1,109 ", $14.99 
9,8/26/2019,85," $1,274 ", $14.99 
9,8/25/2019,114," $1,709 ", $14.99 
9,8/24/2019,87," $1,304 ", $14.99 
9,8/23/2019,112," $1,679 ", $14.99 
9,8/22/2019,129," $1,801 ", $13.96 
9,8/21/2019,178," $2,261 ", $12.70 
9,8/20/2019,69," $1,034 ", $14.99 
9,8/19/2019,71," $1,064 ", $14.99 
9,8/18/2019,87," $1,304 ", $14.99 
9,8/17/2019,103," $1,544 ", $14.99 
9,8/16/2019,128," $1,872 ", $14.63 
9,8/15/2019,132," $1,742 ", $13.20 
9,8/14/2019,132," $1,925 ", $14.58 
9,8/13/2019,113," $1,694 ", $14.99 
9,8/12/2019,53, $794 , $14.99 
9,8/11/2019,200," $2,683 ", $13.41 
9,8/10/2019,148," $2,006 ", $13.56 
9,8/9/2019,117," $1,584 ", $13.54 
9,8/8/2019,101," $1,479 ", $14.64 
9,8/7/2019,104," $1,559 ", $14.99 
9,8/6/2019,111," $1,664 ", $14.99 
9,8/5/2019,166," $2,267 ", $13.65 
9,8/4/2019,116," $1,739 ", $14.99 
9,8/3/2019,111," $1,664 ", $14.99 
9,8/2/2019,119," $1,784 ", $14.99 
9,8/1/2019,128," $1,887 ", $14.74 
9,7/31/2019,82," $1,229 ", $14.99 
9,7/30/2019,154," $1,973 ", $12.81 
9,7/29/2019,157," $1,825 ", $11.62 
9,7/28/2019,160," $2,398 ", $14.99 
9,7/27/2019,117," $1,754 ", $14.99 
9,7/26/2019,97," $1,454 ", $14.99 
9,7/25/2019,85," $1,274 ", $14.99 
9,7/24/2019,89," $1,334 ", $14.99 
9,7/23/2019,78," $1,169 ", $14.99 
9,7/22/2019,207," $2,665 ", $12.88 
9,7/21/2019,78," $1,169 ", $14.99 
9,7/20/2019,113," $1,571 ", $13.90 
9,7/19/2019,107," $1,604 ", $14.99 
9,7/18/2019,100," $1,499 ", $14.99 
9,7/17/2019,97," $1,454 ", $14.99 
9,7/16/2019,149," $1,941 ", $13.03 
9,7/15/2019,140," $2,027 ", $14.48 
9,7/14/2019,69," $1,034 ", $14.99 
9,7/13/2019,123," $1,751 ", $14.23 
9,7/12/2019,107," $1,604 ", $14.99 
9,7/11/2019,151," $2,263 ", $14.99 
9,7/10/2019,92," $1,379 ", $14.99 
9,7/9/2019,127," $1,904 ", $14.99 
9,7/8/2019,174," $2,200 ", $12.64 
9,7/7/2019,189," $2,069 ", $10.95 
9,7/6/2019,102," $1,529 ", $14.99 
9,7/5/2019,141," $2,008 ", $14.24 
9,7/4/2019,164," $1,791 ", $10.92 
9,7/3/2019,151," $2,015 ", $13.34 
9,7/2/2019,86," $1,289 ", $14.99 
9,7/1/2019,243," $2,189 ", $9.01 
9,6/30/2019,109," $1,526 ", $14.00 
9,6/29/2019,99," $1,484 ", $14.99 
9,6/28/2019,133," $1,788 ", $13.44 
9,6/27/2019,132," $1,979 ", $14.99 
9,6/26/2019,133," $1,773 ", $13.33 
9,6/25/2019,63, $944 , $14.99 
9,6/24/2019,205," $1,978 ", $9.65 
9,6/23/2019,67," $1,004 ", $14.99 
9,6/22/2019,121," $1,801 ", $14.89 
9,6/21/2019,135," $1,642 ", $12.16 
9,6/20/2019,92," $1,379 ", $14.99 
9,6/19/2019,138," $2,069 ", $14.99 
9,6/18/2019,126," $1,828 ", $14.51 
9,6/17/2019,123," $1,844 ", $14.99 
9,6/16/2019,169," $2,005 ", $11.86 
9,6/15/2019,91," $1,307 ", $14.37 
9,6/14/2019,86," $1,289 ", $14.99 
9,6/13/2019,90," $1,349 ", $14.99 
9,6/12/2019,103," $1,544 ", $14.99 
9,6/11/2019,32, $578 , $18.06 
9,6/10/2019,118," $1,769 ", $14.99 
9,6/9/2019,89," $1,334 ", $14.99 
9,6/8/2019,119," $1,784 ", $14.99 
9,6/7/2019,102," $1,529 ", $14.99 
9,6/6/2019,104," $1,559 ", $14.99 
9,6/5/2019,119," $1,784 ", $14.99 
9,6/4/2019,171," $2,143 ", $12.53 
9,6/3/2019,182," $1,897 ", $10.42 
9,6/2/2019,152," $2,016 ", $13.26 
9,6/1/2019,193," $2,410 ", $12.49 
9,5/31/2019,189," $1,978 ", $10.46 
9,5/30/2019,83," $1,244 ", $14.99 
9,5/29/2019,132," $1,968 ", $14.91 
9,5/28/2019,92," $1,379 ", $14.99 
9,5/27/2019,121," $1,814 ", $14.99 
9,5/26/2019,137," $2,054 ", $14.99 
9,5/25/2019,205," $2,548 ", $12.43 
9,5/24/2019,197," $2,126 ", $10.79 
9,5/23/2019,89," $1,334 ", $14.99 
9,5/22/2019,71," $1,064 ", $14.99 
9,5/21/2019,102," $1,489 ", $14.60 
9,5/20/2019,178," $2,208 ", $12.41 
9,5/19/2019,136," $1,880 ", $13.82 
9,5/18/2019,122," $1,717 ", $14.07 
9,5/17/2019,174," $2,045 ", $11.75 
9,5/16/2019,183," $2,230 ", $12.18 
9,5/15/2019,83," $1,244 ", $14.99 
9,5/14/2019,110," $1,649 ", $14.99 
9,5/13/2019,116," $1,739 ", $14.99 
9,5/12/2019,127," $1,904 ", $14.99 
9,5/11/2019,91," $1,301 ", $14.30 
9,5/10/2019,172," $2,241 ", $13.03 
9,5/9/2019,96," $1,439 ", $14.99 
9,5/8/2019,124," $1,859 ", $14.99 
9,5/7/2019,115," $1,724 ", $14.99 
9,5/6/2019,88," $1,319 ", $14.99 
9,5/5/2019,96," $1,418 ", $14.77 
9,5/4/2019,163," $2,167 ", $13.29 
9,5/3/2019,63, $944 , $14.99 
9,5/2/2019,177," $2,229 ", $12.59 
9,5/1/2019,136," $1,762 ", $12.95 
9,4/30/2019,173," $2,200 ", $12.71 
9,4/29/2019,116," $1,738 ", $14.98 
9,4/28/2019,103," $1,467 ", $14.24 
9,4/27/2019,102," $1,529 ", $14.99 
9,4/26/2019,117," $1,754 ", $14.99 
9,4/25/2019,100," $1,415 ", $14.15 
9,4/24/2019,99," $1,484 ", $14.99 
9,4/23/2019,112," $1,679 ", $14.99 
9,4/22/2019,101," $1,476 ", $14.62 
9,4/21/2019,153," $1,916 ", $12.52 
9,4/20/2019,94," $1,409 ", $14.99 
9,4/19/2019,123," $1,826 ", $14.84 
9,4/18/2019,79," $1,184 ", $14.99 
9,4/17/2019,120," $1,674 ", $13.95 
9,4/16/2019,88," $1,319 ", $14.99 
9,4/15/2019,110," $1,649 ", $14.99 
9,4/14/2019,154," $1,856 ", $12.05 
9,4/13/2019,61, $914 , $14.99 
9,4/12/2019,93," $1,394 ", $14.99 
9,4/11/2019,144," $1,976 ", $13.72 
9,4/10/2019,184," $2,582 ", $14.03 
9,4/9/2019,105," $1,574 ", $14.99 
9,4/8/2019,105," $1,574 ", $14.99 
9,4/7/2019,150," $2,093 ", $13.96 
9,4/6/2019,177," $1,911 ", $10.80 
9,4/5/2019,86," $1,289 ", $14.99 
9,4/4/2019,59, $884 , $14.99 
9,4/3/2019,135," $1,918 ", $14.21 
9,4/2/2019,140," $1,960 ", $14.00 
9,4/1/2019,142," $1,933 ", $13.61 
9,3/31/2019,96," $1,439 ", $14.99 
9,3/30/2019,136," $2,039 ", $14.99 
9,3/29/2019,97," $1,407 ", $14.51 
9,3/28/2019,90," $1,206 ", $13.40 
9,3/27/2019,91," $1,364 ", $14.99 
9,3/26/2019,226," $2,256 ", $9.98 
9,3/25/2019,159," $2,071 ", $13.03 
9,3/24/2019,189," $2,303 ", $12.18 
9,3/23/2019,100," $1,499 ", $14.99 
9,3/22/2019,117," $1,644 ", $14.05 
9,3/21/2019,59, $884 , $14.99 
9,3/20/2019,84," $1,259 ", $14.99 
9,3/19/2019,134," $1,963 ", $14.65 
9,3/18/2019,103," $1,544 ", $14.99 
9,3/17/2019,88," $1,319 ", $14.99 
9,3/16/2019,132," $1,743 ", $13.21 
9,3/15/2019,149," $1,601 ", $10.75 
9,3/14/2019,142," $2,027 ", $14.27 
9,3/13/2019,108," $1,563 ", $14.47 
9,3/12/2019,115," $1,724 ", $14.99 
9,3/11/2019,136," $1,571 ", $11.55 
9,3/10/2019,94," $1,409 ", $14.99 
9,3/9/2019,78," $1,169 ", $14.99 
9,3/8/2019,146," $2,189 ", $14.99 
9,3/7/2019,159," $1,762 ", $11.08 
9,3/6/2019,92," $1,379 ", $14.99 
9,3/5/2019,165," $2,176 ", $13.19 
9,3/4/2019,112," $1,679 ", $14.99 
9,3/3/2019,165," $2,001 ", $12.12 
9,3/2/2019,72," $1,079 ", $14.99 
9,3/1/2019,144," $2,159 ", $14.99 
9,2/28/2019,97," $1,454 ", $14.99 
9,2/27/2019,125," $1,760 ", $14.08 
9,2/26/2019,170," $1,869 ", $11.00 
9,2/25/2019,97," $1,430 ", $14.74 
9,2/24/2019,143," $1,784 ", $12.48 
9,2/23/2019,113," $1,631 ", $14.43 
9,2/22/2019,142," $2,129 ", $14.99 
9,2/21/2019,89," $1,334 ", $14.99 
9,2/20/2019,116," $1,699 ", $14.64 
9,2/19/2019,84," $1,259 ", $14.99 
9,2/18/2019,159," $2,338 ", $14.71 
9,2/17/2019,110," $1,540 ", $14.00 
9,2/16/2019,180," $2,420 ", $13.44 
9,2/15/2019,109," $1,634 ", $14.99 
9,2/14/2019,77," $1,154 ", $14.99 
9,2/13/2019,152," $1,849 ", $12.16 
9,2/12/2019,115," $1,724 ", $14.99 
9,2/11/2019,132," $1,861 ", $14.10 
9,2/10/2019,119," $1,784 ", $14.99 
9,2/9/2019,109," $1,599 ", $14.67 
9,2/8/2019,115," $1,625 ", $14.13 
9,2/7/2019,117," $1,754 ", $14.99 
9,2/6/2019,90," $1,349 ", $14.99 
9,2/5/2019,78," $1,141 ", $14.63 
9,2/4/2019,121," $1,648 ", $13.62 
9,2/3/2019,107," $1,604 ", $14.99 
9,2/2/2019,106," $1,481 ", $13.97 
9,2/1/2019,175," $2,165 ", $12.37 
9,1/31/2019,111," $1,664 ", $14.99 
9,1/30/2019,94," $1,409 ", $14.99 
9,1/29/2019,117," $1,594 ", $13.62 
9,1/28/2019,183," $2,350 ", $12.84 
9,1/27/2019,99," $1,484 ", $14.99 
9,1/26/2019,81," $1,214 ", $14.99 
9,1/25/2019,94," $1,409 ", $14.99 
9,1/24/2019,102," $1,529 ", $14.99 
9,1/23/2019,98," $1,469 ", $14.99 
9,1/22/2019,87," $1,267 ", $14.56 
9,1/21/2019,137," $2,054 ", $14.99 
9,1/20/2019,171," $2,158 ", $12.62 
9,1/19/2019,101," $1,417 ", $14.03 
9,1/18/2019,100," $1,499 ", $14.99 
9,1/17/2019,88," $1,232 ", $14.00 
9,1/16/2019,84," $1,259 ", $14.99 
9,1/15/2019,153," $2,110 ", $13.79 
9,1/14/2019,85," $1,274 ", $14.99 
9,1/13/2019,64, $959 , $14.99 
9,1/12/2019,123," $1,844 ", $14.99 
9,1/11/2019,70," $1,242 ", $17.75 
9,1/10/2019,131," $1,743 ", $13.30 
9,1/9/2019,81," $1,214 ", $14.99 
9,1/8/2019,84," $1,259 ", $14.99 
9,1/7/2019,182," $1,902 ", $10.45 
9,1/6/2019,169," $2,094 ", $12.39 
9,1/5/2019,87," $1,267 ", $14.56 
9,1/4/2019,103," $1,544 ", $14.99 
9,1/3/2019,140," $1,893 ", $13.52 
9,1/2/2019,140," $2,071 ", $14.79 
9,1/1/2019,113," $1,694 ", $14.99 
10,8/31/2019,75," $1,401 ", $18.68 
10,8/30/2019,133," $1,891 ", $14.22 
10,8/29/2019,128," $1,919 ", $14.99 
10,8/28/2019,132," $1,879 ", $14.24 
10,8/27/2019,107," $1,537 ", $14.36 
10,8/26/2019,98," $1,469 ", $14.99 
10,8/25/2019,100," $1,499 ", $14.99 
10,8/24/2019,124," $1,823 ", $14.70 
10,8/23/2019,148," $2,219 ", $14.99 
10,8/22/2019,68, $995 , $14.63 
10,8/21/2019,95," $1,424 ", $14.99 
10,8/20/2019,106," $1,589 ", $14.99 
10,8/19/2019,87," $1,304 ", $14.99 
10,8/18/2019,94," $1,409 ", $14.99 
10,8/17/2019,125," $1,874 ", $14.99 
10,8/16/2019,85," $1,358 ", $15.98 
10,8/15/2019,117," $1,702 ", $14.55 
10,8/14/2019,153," $2,187 ", $14.29 
10,8/13/2019,66, $989 , $14.99 
10,8/12/2019,121," $1,763 ", $14.57 
10,8/11/2019,104," $1,559 ", $14.99 
10,8/10/2019,83," $1,244 ", $14.99 
10,8/9/2019,102," $1,383 ", $13.56 
10,8/8/2019,146," $2,040 ", $13.97 
10,8/7/2019,86," $1,284 ", $14.93 
10,8/6/2019,112," $1,601 ", $14.29 
10,8/5/2019,108," $1,619 ", $14.99 
10,8/4/2019,127," $1,892 ", $14.90 
10,8/3/2019,71," $1,064 ", $14.99 
10,8/2/2019,114," $1,651 ", $14.48 
10,8/1/2019,95," $1,424 ", $14.99 
10,7/31/2019,122," $1,595 ", $13.07 
10,7/30/2019,126," $1,889 ", $14.99 
10,7/29/2019,116," $1,592 ", $13.73 
10,7/28/2019,140," $1,747 ", $12.48 
10,7/27/2019,113," $1,681 ", $14.88 
10,7/26/2019,128," $1,674 ", $13.08 
10,7/25/2019,89," $1,334 ", $14.99 
10,7/24/2019,94," $1,409 ", $14.99 
10,7/23/2019,114," $1,709 ", $14.99 
10,7/22/2019,77," $1,154 ", $14.99 
10,7/21/2019,123," $1,751 ", $14.24 
10,7/20/2019,110," $1,649 ", $14.99 
10,7/19/2019,141," $2,105 ", $14.93 
10,7/18/2019,129," $1,934 ", $14.99 
10,7/17/2019,89," $1,334 ", $14.99 
10,7/16/2019,135," $2,006 ", $14.86 
10,7/15/2019,195," $2,269 ", $11.64 
10,7/14/2019,120," $1,796 ", $14.97 
10,7/13/2019,156," $1,987 ", $12.74 
10,7/12/2019,89," $1,334 ", $14.99 
10,7/11/2019,123," $1,844 ", $14.99 
10,7/10/2019,63, $944 , $14.99 
10,7/9/2019,98," $1,469 ", $14.99 
10,7/8/2019,97," $1,454 ", $14.99 
10,7/7/2019,96," $1,439 ", $14.99 
10,7/6/2019,151," $2,263 ", $14.99 
10,7/5/2019,84," $1,228 ", $14.62 
10,7/4/2019,197," $2,252 ", $11.43 
10,7/3/2019,132," $1,979 ", $14.99 
10,7/2/2019,123," $1,785 ", $14.51 
10,7/1/2019,99," $1,484 ", $14.99 
10,6/30/2019,109," $1,607 ", $14.74 
10,6/29/2019,110," $1,514 ", $13.76 
10,6/28/2019,99," $1,484 ", $14.99 
10,6/27/2019,124," $1,814 ", $14.63 
10,6/26/2019,184," $2,244 ", $12.19 
10,6/25/2019,97," $1,454 ", $14.99 
10,6/24/2019,140," $1,799 ", $12.85 
10,6/23/2019,106," $1,589 ", $14.99 
10,6/22/2019,217," $2,485 ", $11.45 
10,6/21/2019,97," $1,454 ", $14.99 
10,6/20/2019,105," $1,574 ", $14.99 
10,6/19/2019,101," $1,514 ", $14.99 
10,6/18/2019,133," $1,994 ", $14.99 
10,6/17/2019,102," $1,445 ", $14.16 
10,6/16/2019,136," $1,600 ", $11.77 
10,6/15/2019,97," $1,454 ", $14.99 
10,6/14/2019,138," $1,783 ", $12.92 
10,6/13/2019,167," $2,131 ", $12.76 
10,6/12/2019,75," $1,124 ", $14.99 
10,6/11/2019,154," $1,935 ", $12.57 
10,6/10/2019,66, $934 , $14.15 
10,6/9/2019,85," $1,274 ", $14.99 
10,6/8/2019,116," $1,611 ", $13.89 
10,6/7/2019,158," $2,215 ", $14.02 
10,6/6/2019,112," $1,679 ", $14.99 
10,6/5/2019,123," $1,844 ", $14.99 
10,6/4/2019,93," $1,394 ", $14.99 
10,6/3/2019,86," $1,180 ", $13.72 
10,6/2/2019,94," $1,396 ", $14.85 
10,6/1/2019,127," $1,747 ", $13.76 
10,5/31/2019,195," $2,058 ", $10.56 
10,5/30/2019,176," $2,237 ", $12.71 
10,5/29/2019,89," $1,334 ", $14.99 
10,5/28/2019,168," $1,948 ", $11.60 
10,5/27/2019,119," $1,765 ", $14.84 
10,5/26/2019,117," $1,733 ", $14.81 
10,5/25/2019,151," $1,662 ", $11.01 
10,5/24/2019,108," $1,619 ", $14.99 
10,5/23/2019,165," $2,211 ", $13.40 
10,5/22/2019,116," $1,739 ", $14.99 
10,5/21/2019,135," $2,024 ", $14.99 
10,5/20/2019,130," $1,705 ", $13.12 
10,5/19/2019,167," $2,121 ", $12.70 
10,5/18/2019,96," $1,360 ", $14.17 
10,5/17/2019,67," $1,004 ", $14.99 
10,5/16/2019,104," $1,559 ", $14.99 
10,5/15/2019,84," $1,259 ", $14.99 
10,5/14/2019,131," $1,964 ", $14.99 
10,5/13/2019,97," $1,454 ", $14.99 
10,5/12/2019,91," $1,364 ", $14.99 
10,5/11/2019,61, $914 , $14.99 
10,5/10/2019,118," $1,704 ", $14.44 
10,5/9/2019,178," $2,204 ", $12.38 
10,5/8/2019,173," $2,163 ", $12.50 
10,5/7/2019,80," $1,273 ", $15.91 
10,5/6/2019,128," $1,748 ", $13.66 
10,5/5/2019,80," $1,199 ", $14.99 
10,5/4/2019,83," $1,244 ", $14.99 
10,5/3/2019,126," $1,750 ", $13.89 
10,5/2/2019,124," $1,859 ", $14.99 
10,5/1/2019,125," $1,803 ", $14.42 
10,4/30/2019,141," $1,873 ", $13.29 
10,4/29/2019,67," $1,004 ", $14.99 
10,4/28/2019,191," $2,268 ", $11.87 
10,4/27/2019,120," $1,799 ", $14.99 
10,4/26/2019,89," $1,334 ", $14.99 
10,4/25/2019,66, $989 , $14.99 
10,4/24/2019,109," $1,634 ", $14.99 
10,4/23/2019,127," $1,904 ", $14.99 
10,4/22/2019,91," $1,274 ", $14.00 
10,4/21/2019,188," $2,106 ", $11.20 
10,4/20/2019,102," $1,529 ", $14.99 
10,4/19/2019,135," $2,024 ", $14.99 
10,4/18/2019,93," $1,394 ", $14.99 
10,4/17/2019,96," $1,439 ", $14.99 
10,4/16/2019,129," $1,719 ", $13.33 
10,4/15/2019,206," $2,186 ", $10.61 
10,4/14/2019,99," $1,484 ", $14.99 
10,4/13/2019,94," $1,401 ", $14.91 
10,4/12/2019,100," $1,499 ", $14.99 
10,4/11/2019,95," $1,424 ", $14.99 
10,4/10/2019,67," $1,004 ", $14.99 
10,4/9/2019,111," $1,509 ", $13.60 
10,4/8/2019,98," $1,372 ", $14.00 
10,4/7/2019,85," $1,271 ", $14.95 
10,4/6/2019,63, $944 , $14.99 
10,4/5/2019,83," $1,244 ", $14.99 
10,4/4/2019,75," $1,090 ", $14.53 
10,4/3/2019,68," $1,019 ", $14.99 
10,4/2/2019,77," $1,154 ", $14.99 
10,4/1/2019,67," $1,004 ", $14.99 
10,3/31/2019,102," $1,529 ", $14.99 
10,3/30/2019,99," $1,444 ", $14.59 
10,3/29/2019,145," $1,891 ", $13.04 
10,3/28/2019,181," $2,127 ", $11.75 
10,3/27/2019,83," $1,244 ", $14.99 
10,3/26/2019,87," $1,304 ", $14.99 
10,3/25/2019,140," $1,932 ", $13.80 
10,3/24/2019,196," $2,327 ", $11.87 
10,3/23/2019,128," $1,694 ", $13.23 
10,3/22/2019,87," $1,262 ", $14.50 
10,3/21/2019,127," $1,577 ", $12.42 
10,3/20/2019,110," $1,552 ", $14.11 
10,3/19/2019,68," $1,019 ", $14.99 
10,3/18/2019,121," $1,814 ", $14.99 
10,3/17/2019,158," $2,228 ", $14.10 
10,3/16/2019,122," $1,829 ", $14.99 
10,3/15/2019,144," $1,969 ", $13.68 
10,3/14/2019,162," $2,065 ", $12.75 
10,3/13/2019,108," $1,619 ", $14.99 
10,3/12/2019,75," $1,124 ", $14.99 
10,3/11/2019,126," $1,767 ", $14.02 
10,3/10/2019,134," $2,009 ", $14.99 
10,3/9/2019,104," $1,559 ", $14.99 
10,3/8/2019,76," $1,139 ", $14.99 
10,3/7/2019,118," $1,769 ", $14.99 
10,3/6/2019,143," $1,792 ", $12.53 
10,3/5/2019,216," $2,151 ", $9.96 
10,3/4/2019,103," $1,472 ", $14.29 
10,3/3/2019,86," $1,289 ", $14.99 
10,3/2/2019,140," $1,668 ", $11.92 
10,3/1/2019,94," $1,409 ", $14.99 
10,2/28/2019,67," $1,004 ", $14.99 
10,2/27/2019,99," $1,379 ", $13.93 
10,2/26/2019,109," $1,610 ", $14.77 
10,2/25/2019,124," $1,782 ", $14.37 
10,2/24/2019,100," $1,499 ", $14.99 
10,2/23/2019,123," $1,683 ", $13.68 
10,2/22/2019,88," $1,319 ", $14.99 
10,2/21/2019,137," $1,838 ", $13.41 
10,2/20/2019,87," $1,304 ", $14.99 
10,2/19/2019,77," $1,154 ", $14.99 
10,2/18/2019,81," $1,201 ", $14.83 
10,2/17/2019,61," $1,043 ", $17.09 
10,2/16/2019,113," $1,694 ", $14.99 
10,2/15/2019,163," $2,184 ", $13.40 
10,2/14/2019,149," $1,621 ", $10.88 
10,2/13/2019,118," $1,607 ", $13.62 
10,2/12/2019,125," $1,874 ", $14.99 
10,2/11/2019,107," $1,604 ", $14.99 
